comment,date_received,Property - user_id,Property - order_id
Sehr einfache Bedienung; kleines Manko dass keine Emojis in den Textfeldern eingefügt bzw. erkannt werden können,2024-1-10 uhr,ausgedacht:1638,1638
einfache Menüdhrung,2024-1-10 uhr,ausgedacht:1680,1680
Die Layoutgestaltung ist auch für mich bei meiner 30 jährigen Erfahrung zu kompliziert!!!! Mehr KI bitte!!!,2024-1-10 uhr,ausgedacht:1722,1722
übersichtlich,2024-1-10 uhr,ausgedacht:1764,1764
Übersichtlich. Man muss nicht lange suchen um das benögte Produkt zu finden. Bestellung verläuft sehr flott,2024-1-10 uhr,ausgedacht:1806,1806
Einfache Bedienung,2024-1-10 uhr,ausgedacht:1848,1848
einfach und verständlich,2024-1-10 uhr,ausgedacht:1890,1890
Intuitiv einfach und übersichtlich! :-),2024-1-10 uhr,ausgedacht:1932,1932
insgesamt okay! Leider habe ich einige Features zur Bearbeitung von Fotos (Konvertieren in SW Verkleinern…) nicht gefunden…,2024-1-10 uhr,ausgedacht:1974,1974
Sehr praktisch und übersichtlich,2024-1-10 uhr,ausgedacht:2016,2016
Top Bestellvorgang!,2024-1-8 uhr,ausgedacht:2058,2058
leider gibt es keine Möglichkeit meinen Gutschein einzulösen !!,2024-1-8 uhr,ausgedacht:2100,2100
Schnelle unkomplizierte Bestellung!!,2024-1-8 uhr,ausgedacht:2142,2142
Gute Qualität schnelle Lieferung einfache und intuitive Nutzung des Programms,2024-1-8 uhr,ausgedacht:2184,2184
wie immer - einfach kompetent perfekt,2024-1-9 uhr,ausgedacht:2226,2226
Super Service Dankeschön 👍,2024-1-9 uhr,ausgedacht:2268,2268
nette menschen  hilfe sofort toller service einfach toll,2024-1-10 uhr,ausgedacht:2310,2310
Bestellung ging zügig,2024-1-10 uhr,ausgedacht:2352,2352
Versandkosten unangemessen...,2024-1-9 uhr,ausgedacht:2394,2394
:),2024-1-8 uhr,ausgedacht:2436,2436
Alles bestens,2024-1-8 uhr,ausgedacht:2478,2478
Ich möchte es einfach ausprobieren.,2024-1-9 uhr,ausgedacht:2520,2520
Unkompliziert,2024-1-9 uhr,ausgedacht:2562,2562
Leichte Genrauchsanweisung,2024-1-9 uhr,ausgedacht:2604,2604
Übersicht,2024-1-9 uhr,ausgedacht:2646,2646
bei der Bestellung wurde im Warenkorb nur ein Bild angezeigt aber 61 Abzüge,2024-1-9 uhr,ausgedacht:2688,2688
Weiter so :-),2024-1-9 uhr,ausgedacht:2730,2730
Einfach Gut,2024-1-10 uhr,ausgedacht:2772,2772
funktioniert immer,2024-1-10 uhr,ausgedacht:2814,2814
Spontan und Zufriedenheit,2024-1-10 uhr,ausgedacht:2856,2856
